Optimizer,Statistics for model 'QueueMapper',Problem type,Rows,Columns,Nonzeros,Continuous_Variables,Integer_Variables,Binary_Variables,Matrix range_Min,Matrix range_Max,Objective range_Min,Objective range_Max,Bounds range_Min,Bounds range_Max,RHS range_Min,RHS range_Max,Input_File,Solving_Time_Seconds,Solving_Time_Minutes,Statistics for model 'NetworkScheduler'
Mapping,,MIP,53466,1908,207186,636,1272,636,1.0,2000000.0,1.0,2000000.0,1.0,2000000.0,1.0,5000000.0,flows_48_u_1.0_7q_run_04.csv,160.8207,2.6803,
GCL,,MIP,719736,298865,2295300,0,298865,298229,1e+00,2e+06,1e+00,1e+00,1e+00,2e+06,1e+00,5e+06,flows_48_u_1.0_7q_run_04.csv,3600.1012,60.0017,
