Optimizer,Statistics for model 'QueueMapper',Problem type,Rows,Columns,Nonzeros,Continuous_Variables,Integer_Variables,Binary_Variables,Matrix range_Min,Matrix range_Max,Objective range_Min,Objective range_Max,Bounds range_Min,Bounds range_Max,RHS range_Min,RHS range_Max,Input_File,Solving_Time_Seconds,Solving_Time_Minutes,Statistics for model 'NetworkScheduler'
Mapping,,MIP,45639,1674,176694,558,1116,558,1.0,2000000.0,1.0,2000000.0,1.0,2000000.0,1.0,5000000.0,flows_48_u_1.0_7q_run_80.csv,385.4672,6.4245,
GCL,,MIP,550308,227831,1753406,0,227831,227273,1e+00,2e+06,1e+00,1e+00,1e+00,2e+06,1e+00,5e+06,flows_48_u_1.0_7q_run_80.csv,3600.4807,60.008,
