Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec,Start,Finish,Slack
1,F1,P1_1,M,0,400000,7219,11337.0,18556.0,381444.0
1,F1,P1_2,M,400000,800000,7219,415224.0,422443.0,377557.0
1,F1,P1_3,O,800000,1200000,7219,,,
1,F12,P12_1,O,0,200000,6606,,,
1,F12,P12_2,M,200000,400000,6606,200000.0,206606.0,193394.0
1,F12,P12_3,M,400000,600000,6606,400000.0,406606.0,193394.0
1,F12,P12_4,O,600000,800000,6606,,,
1,F12,P12_5,M,800000,1000000,6606,800000.0,806606.0,193394.0
1,F12,P12_6,M,1000000,1200000,6606,1000000.0,1006606.0,193394.0
1,F17,P17_1,O,0,400000,8618,,,
1,F17,P17_2,M,400000,800000,8618,406606.0,415224.0,384776.0
1,F17,P17_3,M,800000,1200000,8618,817943.0,826561.0,373439.0
1,F20,P20_1,M,0,200000,2303,0.0,2303.0,197697.0
1,F20,P20_2,M,200000,400000,2303,206606.0,208909.0,191091.0
1,F20,P20_3,O,400000,600000,2303,,,
1,F20,P20_4,M,600000,800000,2303,600000.0,602303.0,197697.0
1,F20,P20_5,M,800000,1000000,2303,806606.0,808909.0,191091.0
1,F20,P20_6,O,1000000,1200000,2303,,,
1,F5,P5_1,M,0,400000,2067,18556.0,20623.0,379377.0
1,F5,P5_2,M,400000,800000,2067,422443.0,424510.0,375490.0
1,F5,P5_3,O,800000,1200000,2067,,,
1,F8,P8_1,M,0,400000,9034,2303.0,11337.0,388663.0
1,F8,P8_2,O,400000,800000,9034,,,
1,F8,P8_3,M,800000,1200000,9034,808909.0,817943.0,382057.0
2,F13,P13_1,M,0,400000,4817,0.0,4817.0,395183.0
2,F13,P13_2,O,400000,800000,4817,,,
2,F13,P13_3,M,800000,1200000,4817,806231.0,811048.0,388952.0
2,F15,P15_1,M,0,400000,1348,6694.0,8042.0,391958.0
2,F15,P15_2,M,400000,800000,1348,408108.0,409456.0,390544.0
2,F15,P15_3,O,800000,1200000,1348,,,
2,F2,P2_1,O,0,400000,6231,,,
2,F2,P2_2,M,400000,800000,6231,400000.0,406231.0,393769.0
2,F2,P2_3,M,800000,1200000,6231,800000.0,806231.0,393769.0
2,F3,P3_1,M,0,400000,1877,4817.0,6694.0,393306.0
2,F3,P3_2,M,400000,800000,1877,406231.0,408108.0,391892.0
2,F3,P3_3,O,800000,1200000,1877,,,
3,F21,P21_1,M,0,400000,9016,0.0,9016.0,390984.0
3,F21,P21_2,O,400000,800000,9016,,,
3,F21,P21_3,M,800000,1200000,9016,801093.0,810109.0,389891.0
3,F22,P22_1,M,0,400000,7453,9016.0,16469.0,383531.0
3,F22,P22_2,M,400000,800000,7453,401093.0,408546.0,391454.0
3,F22,P22_3,O,800000,1200000,7453,,,
3,F23,P23_1,O,0,200000,1093,,,
3,F23,P23_2,M,200000,400000,1093,200000.0,201093.0,198907.0
3,F23,P23_3,M,400000,600000,1093,400000.0,401093.0,198907.0
3,F23,P23_4,O,600000,800000,1093,,,
3,F23,P23_5,M,800000,1000000,1093,800000.0,801093.0,198907.0
3,F23,P23_6,M,1000000,1200000,1093,1000000.0,1001093.0,198907.0
3,F31,P31_1,O,0,400000,4642,,,
3,F31,P31_2,M,400000,800000,4642,408546.0,413188.0,386812.0
3,F31,P31_3,M,800000,1200000,4642,810109.0,814751.0,385249.0
4,F10,P10_1,O,0,400000,2813,,,
4,F10,P10_2,M,400000,800000,2813,406780.0,409593.0,390407.0
4,F10,P10_3,M,800000,1200000,2813,802527.0,805340.0,394660.0
4,F19,P19_1,O,0,200000,2527,,,
4,F19,P19_2,M,200000,400000,2527,200000.0,202527.0,197473.0
4,F19,P19_3,M,400000,600000,2527,404253.0,406780.0,193220.0
4,F19,P19_4,O,600000,800000,2527,,,
4,F19,P19_5,M,800000,1000000,2527,800000.0,802527.0,197473.0
4,F19,P19_6,M,1000000,1200000,2527,1004253.0,1006780.0,193220.0
4,F28,P28_1,M,0,400000,1607,4253.0,5860.0,394140.0
4,F28,P28_2,O,400000,800000,1607,,,
4,F28,P28_3,M,800000,1200000,1607,805340.0,806947.0,393053.0
4,F4,P4_1,M,0,200000,4253,0.0,4253.0,195747.0
4,F4,P4_2,O,200000,400000,4253,,,
4,F4,P4_3,M,400000,600000,4253,400000.0,404253.0,195747.0
4,F4,P4_4,M,600000,800000,4253,600000.0,604253.0,195747.0
4,F4,P4_5,O,800000,1000000,4253,,,
4,F4,P4_6,M,1000000,1200000,4253,1000000.0,1004253.0,195747.0
5,F16,P16_1,M,0,400000,2586,0.0,2586.0,397414.0
5,F16,P16_2,O,400000,800000,2586,,,
5,F16,P16_3,M,800000,1200000,2586,804045.0,806631.0,393369.0
5,F18,P18_1,O,0,400000,4045,,,
5,F18,P18_2,M,400000,800000,4045,400000.0,404045.0,395955.0
5,F18,P18_3,M,800000,1200000,4045,800000.0,804045.0,395955.0
5,F25,P25_1,M,0,400000,608,2586.0,3194.0,396806.0
5,F25,P25_2,M,400000,800000,608,404045.0,404653.0,395347.0
5,F25,P25_3,O,800000,1200000,608,,,
6,F24,P24_1,M,0,400000,2335,3770.0,6105.0,393895.0
