Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,8,0,400000,4211,,,,Optional Packets- Not Scheduled,No,N/A,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F1,P1_2,5,400000,800000,4211,453639.0,457850.0,57850.0,Scheduled - Deadline Met,Yes,Yes,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F1,P1_3,8,800000,1200000,4211,864124.0,868335.0,68335.0,Scheduled - Deadline Met,Yes,Yes,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F10,P10_1,8,0,400000,1234,91836.0,93070.0,93070.0,Scheduled - Deadline Met,Yes,Yes,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F10,P10_2,8,400000,800000,1234,492610.0,493844.0,93844.0,Scheduled - Deadline Met,Yes,Yes,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F10,P10_3,2,800000,1200000,1234,834920.0,836154.0,36154.0,Scheduled - Deadline Met,Yes,Yes,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F11,P11_1,8,0,400000,7823,,,,Optional Packets- Not Scheduled,No,N/A,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F11,P11_2,8,400000,800000,7823,,,,Optional Packets- Not Scheduled,No,N/A,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F11,P11_3,3,800000,1200000,7823,815487.0,823310.0,23310.0,Scheduled - Deadline Met,Yes,Yes,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F12,P12_1,8,0,200000,6834,,,,Optional Packets- Not Scheduled,No,N/A,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F12,P12_2,4,200000,400000,6834,223874.0,230708.0,30708.0,Scheduled - Deadline Met,Yes,Yes,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F12,P12_3,8,400000,600000,6834,,,,Optional Packets- Not Scheduled,No,N/A,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F12,P12_4,8,600000,800000,6834,661542.0,668376.0,68376.0,Scheduled - Deadline Met,Yes,Yes,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F12,P12_5,4,800000,1000000,6834,942243.0,949077.0,149077.0,Scheduled - Deadline Met,Yes,Yes,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
F12,P12_6,8,1000000,1200000,6834,,,,Optional Packets- Not Scheduled,No,N/A,80.17053270339966,1.336175545056661,10,119.0,Gurobi Status: 10
