Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,5,0,100000,7858,43791.0,51649.0,51649.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_2,5,100000,200000,7858,151749.0,159607.0,59607.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_3,8,200000,300000,7858,,,,Optional Packets- Not Scheduled,No,N/A,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_4,5,300000,400000,7858,345546.0,353404.0,53404.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_5,5,400000,500000,7858,403992.0,411850.0,11850.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_6,8,500000,600000,7858,,,,Optional Packets- Not Scheduled,No,N/A,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_7,5,600000,700000,7858,669650.0,677508.0,77508.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_8,5,700000,800000,7858,732292.0,740150.0,40150.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_9,8,800000,900000,7858,,,,Optional Packets- Not Scheduled,No,N/A,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_10,5,900000,1000000,7858,965719.0,973577.0,73577.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_11,5,1000000,1100000,7858,1009600.0,1017458.0,17458.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F1,P1_12,8,1100000,1200000,7858,,,,Optional Packets- Not Scheduled,No,N/A,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F10,P10_1,6,0,200000,5634,182843.0,188477.0,188477.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F10,P10_2,6,200000,400000,5634,339816.0,345450.0,145450.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
F10,P10_3,8,400000,600000,5634,495074.0,500708.0,100708.0,Scheduled - Deadline Met,Yes,Yes,151.5632243156433,2.5260537385940554,11,19.0,Gap Stable for 5 Checks
