Number of Packets,Mapping,GCL
201,402,"[30470, 31638]"
252,504,"[49503, 50605]"
306,612,"[75022, 76620]"
351,702,"[100320, 102105]"
402,804,"[133520, 135684]"
450,900,"[168619, 171102]"
501,1002,"[211465, 214744]"
