Configuration,Weighted OPAR (%) Criterion A,Weighted OPAR (%) Criterion B,Non-Weighted OPAR (%) Criterion A,Non-Weighted OPAR (%) Criterion B,Total OPAR (%) Criterion A,Total OPAR (%) Criterion B
Conf. 1,-,-,-,-,82.71,69.67
Conf. 2,88.33,87.61,77.72,53.66,81.88,67.31
Conf. 3,89.00,76.98,62.10,59.43,78.91,70.17
