Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec,Start,Finish,Slack
1,F12,P12_1,O,0,200000,8911,,,
1,F12,P12_2,M,200000,400000,8911,216709.0,225620.0,174380.0
1,F12,P12_3,M,400000,600000,8911,405273.0,414184.0,185816.0
1,F12,P12_4,O,600000,800000,8911,,,
1,F12,P12_5,M,800000,1000000,8911,816709.0,825620.0,174380.0
1,F12,P12_6,M,1000000,1200000,8911,1005273.0,1014184.0,185816.0
1,F2,P2_1,M,0,200000,11436,0.0,11436.0,188564.0
1,F2,P2_2,M,200000,400000,11436,205273.0,216709.0,183291.0
1,F2,P2_3,O,400000,600000,11436,,,
1,F2,P2_4,M,600000,800000,11436,600000.0,611436.0,188564.0
1,F2,P2_5,M,800000,1000000,11436,805273.0,816709.0,183291.0
1,F2,P2_6,O,1000000,1200000,11436,,,
1,F23,P23_1,M,0,400000,7286,13681.0,20967.0,379033.0
1,F23,P23_2,M,400000,800000,7286,416429.0,423715.0,376285.0
1,F23,P23_3,O,800000,1200000,7286,,,
1,F26,P26_1,M,0,200000,2245,11436.0,13681.0,186319.0
1,F26,P26_2,O,200000,400000,2245,,,
1,F26,P26_3,M,400000,600000,2245,414184.0,416429.0,183571.0
1,F26,P26_4,M,600000,800000,2245,611436.0,613681.0,186319.0
1,F26,P26_5,O,800000,1000000,2245,,,
1,F26,P26_6,M,1000000,1200000,2245,1014184.0,1016429.0,183571.0
1,F28,P28_1,M,0,400000,866,20967.0,21833.0,378167.0
1,F28,P28_2,M,400000,800000,866,423715.0,424581.0,375419.0
1,F28,P28_3,O,800000,1200000,866,,,
1,F9,P9_1,O,0,50000,5273,,,
1,F9,P9_2,M,50000,100000,5273,50000.0,55273.0,44727.0
1,F9,P9_3,M,100000,150000,5273,100000.0,105273.0,44727.0
1,F9,P9_4,O,150000,200000,5273,,,
1,F9,P9_5,M,200000,250000,5273,200000.0,205273.0,44727.0
1,F9,P9_6,M,250000,300000,5273,250000.0,255273.0,44727.0
1,F9,P9_7,O,300000,350000,5273,,,
1,F9,P9_8,M,350000,400000,5273,350000.0,355273.0,44727.0
1,F9,P9_9,M,400000,450000,5273,400000.0,405273.0,44727.0
1,F9,P9_10,O,450000,500000,5273,,,
1,F9,P9_11,M,500000,550000,5273,500000.0,505273.0,44727.0
1,F9,P9_12,M,550000,600000,5273,550000.0,555273.0,44727.0
1,F9,P9_13,O,600000,650000,5273,,,
1,F9,P9_14,M,650000,700000,5273,650000.0,655273.0,44727.0
1,F9,P9_15,M,700000,750000,5273,700000.0,705273.0,44727.0
1,F9,P9_16,O,750000,800000,5273,,,
1,F9,P9_17,M,800000,850000,5273,800000.0,805273.0,44727.0
1,F9,P9_18,M,850000,900000,5273,850000.0,855273.0,44727.0
1,F9,P9_19,O,900000,950000,5273,,,
