Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,3,0,400000,2487,5450.0,7937.0,7937.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F1,P1_2,8,400000,800000,2487,528169.0,530656.0,130656.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F10,P10_1,6,0,400000,4433,167826.0,172259.0,172259.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F10,P10_2,8,400000,800000,4433,513948.0,518381.0,118381.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F11,P11_1,5,0,400000,884,30573.0,31457.0,31457.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F11,P11_2,8,400000,800000,884,540570.0,541454.0,141454.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F12,P12_1,4,0,400000,667,17072.0,17739.0,17739.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F12,P12_2,8,400000,800000,667,541550.0,542217.0,142217.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F13,P13_1,8,0,200000,9155,64713.0,73868.0,73868.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F13,P13_2,6,200000,400000,9155,201887.0,211042.0,11042.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F13,P13_3,8,400000,600000,9155,495558.0,504713.0,104713.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F13,P13_4,6,600000,800000,9155,620602.0,629757.0,29757.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
F14,P14_1,6,0,200000,3908,100785.0,104693.0,104693.0,Scheduled - Deadline Met,Yes,Yes,12.790666341781616,0.21317777236302693,10,61.0,Gurobi Status: 10
