Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec,Start,Finish,Slack
1,F10,P10_1,M,0,400000,866,9028.0,9894.0,390106.0
1,F10,P10_2,M,400000,800000,866,412543.0,413409.0,386591.0
1,F10,P10_3,O,800000,1200000,866,,,
1,F20,P20_1,M,0,400000,2656,6372.0,9028.0,390972.0
1,F20,P20_2,M,400000,800000,2656,409887.0,412543.0,387457.0
1,F20,P20_3,O,800000,1200000,2656,,,
1,F23,P23_1,O,0,400000,9887,,,
1,F23,P23_2,M,400000,800000,9887,400000.0,409887.0,390113.0
1,F23,P23_3,M,800000,1200000,9887,800000.0,809887.0,390113.0
1,F7,P7_1,M,0,400000,6372,0.0,6372.0,393628.0
1,F7,P7_2,O,400000,800000,6372,,,
1,F7,P7_3,M,800000,1200000,6372,809887.0,816259.0,383741.0
2,F1,P1_1,M,0,200000,1521,10986.0,12507.0,187493.0
2,F1,P1_2,O,200000,400000,1521,,,
2,F1,P1_3,M,400000,600000,1521,416749.0,418270.0,181730.0
2,F1,P1_4,M,600000,800000,1521,610986.0,612507.0,187493.0
2,F1,P1_5,O,800000,1000000,1521,,,
2,F1,P1_6,M,1000000,1200000,1521,1016749.0,1018270.0,181730.0
2,F15,P15_1,O,0,100000,7746,,,
2,F15,P15_2,M,100000,200000,7746,100000.0,107746.0,92254.0
2,F15,P15_3,M,200000,300000,7746,200000.0,207746.0,92254.0
2,F15,P15_4,O,300000,400000,7746,,,
2,F15,P15_5,M,400000,500000,7746,400000.0,407746.0,92254.0
2,F15,P15_6,M,500000,600000,7746,500000.0,507746.0,92254.0
2,F15,P15_7,O,600000,700000,7746,,,
2,F15,P15_8,M,700000,800000,7746,700000.0,707746.0,92254.0
2,F15,P15_9,M,800000,900000,7746,800000.0,807746.0,92254.0
2,F15,P15_10,O,900000,1000000,7746,,,
2,F15,P15_11,M,1000000,1100000,7746,1000000.0,1007746.0,92254.0
2,F15,P15_12,M,1100000,1200000,7746,1100000.0,1107746.0,92254.0
2,F16,P16_1,M,0,200000,7773,0.0,7773.0,192227.0
2,F16,P16_2,M,200000,400000,7773,207746.0,215519.0,184481.0
2,F16,P16_3,O,400000,600000,7773,,,
2,F16,P16_4,M,600000,800000,7773,600000.0,607773.0,192227.0
2,F16,P16_5,M,800000,1000000,7773,807746.0,815519.0,184481.0
2,F16,P16_6,O,1000000,1200000,7773,,,
2,F18,P18_1,M,0,200000,3213,7773.0,10986.0,189014.0
2,F18,P18_2,O,200000,400000,3213,,,
2,F18,P18_3,M,400000,600000,3213,413536.0,416749.0,183251.0
2,F18,P18_4,M,600000,800000,3213,607773.0,610986.0,189014.0
2,F18,P18_5,O,800000,1000000,3213,,,
2,F18,P18_6,M,1000000,1200000,3213,1013536.0,1016749.0,183251.0
